City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,bata,1.8639,9.7658,25.64,90,100,3.02,9.7658,9.7658
78,kedougou,12.5579,-12.1743,23.99,91,97,3.93,-12.1743,-12.1743
79,dapa,9.7594,126.0531,27.65,78,52,0.3,126.0531,126.0531
80,xilin hot,43.9667,116.0333,4.47,39,4,2.49,116.0333,116.0333
81,calvinia,-31.4707,19.776,11.75,77,4,2.6,19.776,19.776
82,olonkinbyen,70.9221,-8.7187,3.7,88,100,4.57,-8.7187,-8.7187
83,dikwa,12.024,13.9165,27.77,21,10,3.74,13.9165,13.9165
84,st. john's,47.5649,-52.7093,7.1,91,100,8.49,-52.7093,-52.7093
85,thompson,55.7435,-97.8558,-2.0,38,0,4.33,-97.8558,-97.8558
86,qaryat suluq,31.6682,20.2521,22.85,47,0,2.94,20.2521,20.2521
87,bredasdorp,-34.5322,20.0403,14.21,80,4,4.68,20.0403,20.0403
88,crystal city,28.6775,-99.8281,30.06,45,100,4.63,-99.8281,-99.8281
89,andrushivka,50.0229,29.0202,9.32,90,74,3.15,29.0202,29.0202
90,el granada,37.5027,-122.4694,25.51,74,100,8.23,-122.4694,-122.4694
91,portsmouth,50.799,-1.0913,12.2,95,98,4.47,-1.0913,-1.0913
92,bilibino,68.0546,166.4372,-7.4,93,100,4.36,166.4372,166.4372
93,arraial do cabo,-22.9661,-42.0278,21.78,86,14,9.77,-42.0278,-42.0278
94,zyrya,40.3661,50.2917,17.05,86,40,6.83,50.2917,50.2917
95,yuzhno-kurilsk,44.0306,145.8556,11.25,62,6,3.18,145.8556,145.8556
96,shatki,55.1887,44.1249,7.61,99,99,1.91,44.1249,44.1249
97,longyearbyen,78.2186,15.6401,-6.09,79,75,3.09,15.6401,15.6401
98,tralee,52.2704,-9.7026,8.35,94,38,2.25,-9.7026,-9.7026
99,sinop,41.7711,34.8709,16.78,52,14,2.29,34.8709,34.8709
100,college,64.8569,-147.8028,-2.53,80,75,3.09,-147.8028,-147.8028
101,jalai nur,49.45,117.7,2.6,38,3,2.55,117.7,117.7
102,badger,64.8,-147.5333,-2.58,82,75,3.09,-147.5333,-147.5333
103,naryn,41.4287,75.9911,3.92,98,98,0.6,75.9911,75.9911
104,goondiwindi,-28.55,150.3167,28.7,16,0,3.97,150.3167,150.3167
105,tianpeng,30.9866,103.9393,17.34,80,85,0.64,103.9393,103.9393
106,cidreira,-30.1811,-50.2056,19.32,95,100,2.05,-50.2056,-50.2056
107,pacific grove,36.6177,-121.9166,23.47,80,20,4.63,-121.9166,-121.9166
